,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
110,"Helium - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",Sia,39091,https://open.spotify.com/track/5fc6rQgAKiLutfUYWQ6QnJ
111,Touch,"Little Mix",38540,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z
112,"Treat You Better","Shawn Mendes",38416,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd
113,Love$ick,"Mura Masa",38028,https://open.spotify.com/track/5v9N8Rx3QsFvr50cxyQcA3
114,Faded,"Alan Walker",37947,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos
115,"The Mack",Nevada,37896,https://open.spotify.com/track/7aV2mflaASUmGhCErm7kBO
116,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne",37629,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB
117,Panda,Desiigner,37132,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h
118,Feuerwerk,"Wincent Weiss",36712,https://open.spotify.com/track/5toMpskhrnl8ByNg0zlB5F
119,"By Your Side","Jonas Blue",36671,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j
120,"Whispering Still (feat. Charity Children) - Little Rose Remix",SRTW,36670,https://open.spotify.com/track/3D3Tkk0d9UmECpH5Fprmuv
121,History,"Olivia Holt",36390,https://open.spotify.com/track/0WCEaydwN65cvwaW8aqptF
122,"The Ocean (feat. Shy Martin)","Mike Perry",36377,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv
123,"Your Soul (Holding On)",RHODES,36114,https://open.spotify.com/track/4nxvRweTK5ZZhbH3G7PuEn
124,"Meine Posse",Beginner,36028,https://open.spotify.com/track/1w7VLLyAq8ZTMHU0niW5mU
125,"Heavy (feat. Kiiara)","Linkin Park",36008,https://open.spotify.com/track/104buTcnP2AsxqB7U1FIZ4
126,"Patte fließt",Azet,34841,https://open.spotify.com/track/24QLjRdXiJdhuzzaXg9mqK
127,Spielplatz,Maxwell,34734,https://open.spotify.com/track/14OLkF8PnpsE7z9zt7FMu1
128,"Dynamite (feat. Pretty Sister)",Nause,34473,https://open.spotify.com/track/2Ae5awwKvQpTBKQHr1TYCg
129,"Love on Me",Galantis,34222,https://open.spotify.com/track/2MHCiOohBZEQuLgDTPvSzF
130,Hulapalu,"Andreas Gabalier",34005,https://open.spotify.com/track/7zja6rwquGA6vzLolzKrda
131,Bonfire,"Felix Jaehn",33939,https://open.spotify.com/track/5hz9DEkahyWoTs3rxJOTtw
132,Photograph,"Ed Sheeran",33466,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
133,"The Sound of Silence",Disturbed,33082,https://open.spotify.com/track/0eZBeB2xFIS65jQHerispi
134,"It's Gotta Be You",Isaiah,32951,https://open.spotify.com/track/6cAKeFFYW2aClZSUyvqAEW
135,"Break My Habits",Topic,32825,https://open.spotify.com/track/5DunkTHxwszBIlEdBeyU6q
136,"How Would You Feel (Paean)","Ed Sheeran",32734,https://open.spotify.com/track/6PJ8FF6UR8FZXfEvpHkIVN
137,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,32506,https://open.spotify.com/track/5Z01UMMf7V1o0MzF86s6WJ
138,"Cheap Thrills",Sia,32057,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
139,"Stressed Out","Twenty One Pilots",31925,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
140,"Chill mal dein Leben",Kianush,31788,https://open.spotify.com/track/2mgEaXikIdfbdonkQ6AY6D
141,"Water Under the Bridge",Adele,31653,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y
142,"Fast Life",Azet,31194,https://open.spotify.com/track/2oW8pBaoHKnG2zf7auryUH
143,Sex,"Cheat Codes",31188,https://open.spotify.com/track/5DA77EqppDmCTWGovd4oTP
144,"'Till I Collapse",Eminem,31183,https://open.spotify.com/track/6yr8GiTHWvFfi4o6Q5ebdT
145,"Dancing On My Own","Calum Scott",31146,https://open.spotify.com/track/02WacdrRpm4zlP8H7X6bnQ
146,"Feel (feat. Sena Sener) - Radio Edit","Mahmut Orhan",31118,https://open.spotify.com/track/7Is0OPWVcN8DdZpcNuClcy
147,"This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners",Kungs,30305,https://open.spotify.com/track/0tICYNayWWhH9GPeFrfjfD
148,"Bom Bidi Bom - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","Nick Jonas",29597,https://open.spotify.com/track/4nDfc6F2uVcc6wdG7kBzWO
149,"Silberner Ferrari (feat. Farid Bang)",Majoe,29475,https://open.spotify.com/track/0aIhlYp18RtshhAwIHwxKw
150,"Scheiß auf eure Party",Ufo361,29374,https://open.spotify.com/track/1Syhm4vkn6n2DYuFnyI60s
151,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",29283,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
152,"Stoff und Schnaps","Lil Kleine",29220,https://open.spotify.com/track/463oFGElXVcP8ueC72zvMj
153,"Don't Be So Shy - Filatov & Karas Remix",Imany,28936,https://open.spotify.com/track/00vk0sEfb6mr2ehwSw0Uhn
154,Holz,257ers,28822,https://open.spotify.com/track/7eINNUMHd6YAPldsUlCz9q
155,Capsize,FRENSHIP,28696,https://open.spotify.com/track/2XMTqoHHSH0lvuXrvIEdco
156,Alarm,Anne-Marie,28482,https://open.spotify.com/track/0OwX5aROoW1Iip8FV51Efg
157,"Bleib in der Schule",Trailerpark,28474,https://open.spotify.com/track/0QjewL57d6QobAvn1JoQd9
158,"Miss You","James Hersey",28283,https://open.spotify.com/track/7of1slAJIWrXxP8ikAHxje
159,Gaspedal,Maxwell,28277,https://open.spotify.com/track/1f0KCTo151gsceJeGMv3vK
