,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
126,"Crazy Titch - Interlude",Stormzy,46585,https://open.spotify.com/track/5tSc8s7GhMhaWFdkjNGFF7
127,"Let It Go","James Bay",46468,https://open.spotify.com/track/13HVjjWUZFaWilh2QUJKsP
128,"Perfect Strangers","Jonas Blue",46467,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1
129,"Tenerife Sea","Ed Sheeran",46319,https://open.spotify.com/track/6vSwxzO2Qf4BinHSXRwZJe
130,"Lush Life","Zara Larsson",46214,https://open.spotify.com/track/1rIKgCH4H52lrvDcz50hS8
131,Stronger,"Kanye West",46114,https://open.spotify.com/track/6C7RJEIUDqKkJRZVWdkfkH
132,"Tunnel Vision","Kodak Black",45918,https://open.spotify.com/track/4Q3N4Ct4zCuIHuZ65E3BD4
133,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,45826,https://open.spotify.com/track/5Z01UMMf7V1o0MzF86s6WJ
134,"The Greatest (feat. Kendrick Lamar)",Sia,45290,https://open.spotify.com/track/7xHWNBFm6ObGEQPaUxHuKO
135,"Do I Wanna Know?","Arctic Monkeys",44954,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
136,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""","Ed Sheeran",44942,https://open.spotify.com/track/3B7udSGy2PfgoCniMSb523
137,"Shut Up and Dance","WALK THE MOON",44616,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
138,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",44497,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl
139,"Dancing On My Own","Calum Scott",44042,https://open.spotify.com/track/02WacdrRpm4zlP8H7X6bnQ
140,"All Night (feat. Knox Fortune)","Chance the Rapper",44026,https://open.spotify.com/track/60xaS8mYBKUW4VQQ666N0T
141,"Deja Vu","J. Cole",43700,https://open.spotify.com/track/6I6NX6tjGsxFAsIfGzY9lJ
142,"Into You","Ariana Grande",43642,https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0
143,"This Is What You Came For","Calvin Harris",43476,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
144,Scary,Stormzy,43429,https://open.spotify.com/track/745Dazbwplj1SDZ8SPKHV5
145,"This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners",Kungs,43103,https://open.spotify.com/track/0tICYNayWWhH9GPeFrfjfD
146,Don't,"Ed Sheeran",42685,https://open.spotify.com/track/6gTJaPuj8DT8RjuDJyBgzP
147,"Wanna Know Remix (feat. Drake)",Dave,42541,https://open.spotify.com/track/7bPLo5Fv7h15E2fW3g1mVQ
148,"Love Yourself","Justin Bieber",42533,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
149,"All Time Low","Jon Bellion",42053,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
150,"Seven Nation Army","The White Stripes",41985,https://open.spotify.com/track/1jNOi6m3Hn8nLEeHCp5Msr
151,"Wonderwall - Remastered",Oasis,41721,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
152,"Pumped Up Kicks","Foster The People",41643,https://open.spotify.com/track/7w87IxuO7BDcJ3YUqCyMTT
153,"Addison Lee (Peng Ting Called Maddison)",Not3s,40698,https://open.spotify.com/track/61AaiTZFfwruCncZ7m7CIg
154,"7 Years","Lukas Graham",40541,https://open.spotify.com/track/7129iqBafaphfc3WPCGC0L
155,Chocolate,"The 1975",40345,https://open.spotify.com/track/4WiiRw2PHMNQE0ad6y6GdD
156,"City Of Stars - From ""La La Land"" Soundtrack","Ryan Gosling",40299,https://open.spotify.com/track/0LtVx5vsq9nfpGsWgjUin6
157,"Can't Stop","Red Hot Chili Peppers",40294,https://open.spotify.com/track/3ZOEytgrvLwQaqXreDs2Jx
158,"Somebody Else","The 1975",40287,https://open.spotify.com/track/5hc71nKsUgtwQ3z52KEKQk
159,"Work from Home (feat. Ty Dolla $ign)","Fifth Harmony",40108,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
160,"Stressed Out","Twenty One Pilots",40102,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
161,"That's Not Me",Skepta,40059,https://open.spotify.com/track/3loNCAyjqpgB9DvKhLMKi9
162,Jumpman,Drake,39991,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ
163,"How Far I'll Go","Auli'i Cravalho",39881,https://open.spotify.com/track/6mb6lVLNrcUgLnEN8QnDJd
164,"The A Team","Ed Sheeran",39782,https://open.spotify.com/track/1VdZ0vKfR5jneCmWIUAMxK
165,T-Shirt,Migos,39418,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
166,Hello,Adele,39379,https://open.spotify.com/track/4sPmO7WMQUAf45kwMOtONw
167,"When We Were Young",Adele,39330,https://open.spotify.com/track/7IWkJwX9C0J7tHurTD7ViL
168,Work,Rihanna,39286,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
169,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne",38813,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB
170,"By Your Side","The 1975",38779,https://open.spotify.com/track/6Tzacf8BGC7fyPuQIsG49K
171,"Want to Want Me","Jason Derulo",38359,https://open.spotify.com/track/7oGZAicScQt96OAW4AruYy
172,"It's Gotta Be You",Isaiah,38199,https://open.spotify.com/track/6cAKeFFYW2aClZSUyvqAEW
173,"Take Me Out","Franz Ferdinand",38149,https://open.spotify.com/track/6ooluO7DiEhI1zmK94nRCM
174,"Cake - Challenge Version","Flo Rida",38110,https://open.spotify.com/track/6t2ubAB4iSYOuIpRAOGd4t
175,PILLOWTALK,ZAYN,38095,https://open.spotify.com/track/0PDUDa38GO8lMxLCRc4lL1
176,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",37831,https://open.spotify.com/track/0L7loeTIg6akW84aEQZpCT
177,"Dog Days Are Over","Florence + The Machine",37814,https://open.spotify.com/track/1YLJVmuzeM2YSUkCCaTNUB
178,Stitches,"Shawn Mendes",37661,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q
179,"Ni**as In Paris",JAY-Z,37577,https://open.spotify.com/track/2KpCpk6HjXXLb7nnXoXA5O
180,"Fresh Eyes","Andy Grammer",37560,https://open.spotify.com/track/4nMlau89VAjmV7agkl7OY3
181,Places,"Martin Solveig",37426,https://open.spotify.com/track/6O85MfGECKBqAK2MgSbCaj
182,Radioactive,"Imagine Dragons",37270,https://open.spotify.com/track/6Ep6BzIOB9tz3P4sWqiiAB
183,"When You Love Someone","James TW",37184,https://open.spotify.com/track/5fX2oPyLCe5mBKqGDbOWqC
184,"i hate u, i love u (feat. olivia o'brien)",gnash,37155,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
185,"Another Day Of Sun - From ""La La Land"" Soundtrack","La La Land Cast",37128,https://open.spotify.com/track/0zCfmceT1YvtZXGbR6Roht
186,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,37102,https://open.spotify.com/track/7vFoFDWqTX0mHzLfrF1Cfy
187,"Take Me To Church",Hozier,36554,https://open.spotify.com/track/0IqKeD8ZSP72KbGYyzEcAs
188,"All We Know","The Chainsmokers",36486,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK
189,Party,"Chris Brown",36471,https://open.spotify.com/track/05Z7jet4VDNVgNQWcYHnrk
190,Sing,"Ed Sheeran",36232,https://open.spotify.com/track/6u0oHknFYrnUd42A6rvFly
191,"Send Me On My Way","Rusted Root",36198,https://open.spotify.com/track/6XK6Zw6JkFsHXzAcMWNiIr
192,"Send My Love (To Your New Lover)",Adele,36080,https://open.spotify.com/track/4BHzQ9C00ceJxfG16AlNWb
193,"Let Her Go",Passenger,35945,https://open.spotify.com/track/2jyjhRf6DVbMPU5zxagN2h
194,"My Number",Foals,35631,https://open.spotify.com/track/4c9WmjVlQMr0s1IjbYO52Z
195,"We Don't Talk Anymore","Charlie Puth",35449,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV
196,"Cheap Thrills (feat. Sean Paul)",Sia,35412,https://open.spotify.com/track/378iszndTZAR4dH8kwsLC6
197,"How to Save a Life","The Fray",35368,https://open.spotify.com/track/5fVZC9GiM4e8vu99W0Xf6J
198,"No Problem (feat. Lil Wayne & 2 Chainz)","Chance the Rapper",35024,https://open.spotify.com/track/0v9Wz8o0BT8DU38R4ddjeH
199,"Sunset Lover","Petit Biscuit",34905,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1
200,Shutdown,Skepta,34899,https://open.spotify.com/track/1CireMJYXN8Rw4u1HG5GFZ
